date_end,ages_0_4,ages_5_11,ages_12_15,ages_16_17,ages_18_29,ages_30_39,ages_40_49,ages_50_64,ages_65_74,ages_75_plus
2021-07-03,15.9,18,21.6,26.5,40,32.8,27.7,20.9,13.4,11.7
2021-07-10,19.8,21.9,29.2,30.1,57.2,44.7,31.9,23.8,15.1,18
2021-07-17,28.2,42,36.6,43.8,87.2,70.8,54.4,40.4,27.3,20.4
2021-07-24,50.5,69.1,68.5,87.9,123.6,107.1,81.1,61,41.3,38.4
2021-07-31,68,87.6,99.7,133,166.6,131.3,102.2,82.4,54.5,44.8
2021-08-07,84.7,132,146.7,155.1,189.1,172.7,151.1,110.4,83.7,65.8
2021-08-14,98.3,151.1,172.6,190.5,217,193.6,173.8,134.9,103.9,80.6
2021-08-21,108.6,161.8,160.1,186.5,230,214.2,177.5,135.5,104,98.2
2021-08-28,120.1,158.5,152.7,176.3,216.8,217.8,168.4,139.7,111.1,93.5
2021-09-04,109.6,160.3,140.9,182.5,209.5,215.1,160.4,143.3,116.6,101
2021-09-11,123.4,190.8,168.3,214.3,243.2,219.3,179.2,138.1,115.9,94.1
2021-09-18,150.6,239.5,207.6,228.5,221,220.1,181.4,141,118.5,99.6
2021-09-25,151.5,241.9,211.4,214.8,177.1,192.6,174,128,109.5,91.3
